Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0yeUPy29YiGzIacvZrBZNk,0kjtAQI9niv8tH33QkhuuM,Full of Rabbits,Disoriented,Quite Quiet,3/2/2017,196911,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:37:50Z,singaporean indie,0.507,0.672,5,-11.133,1,0.0366,0.342,0.0444,0.0931,0.686,150.514,4
4AswwQkG9UR6ALehphXUqD,0kjtAQI9niv8tH33QkhuuM,What Do You Think About Harakiri?,Disoriented,Quite Quiet,3/2/2017,272065,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:37:50Z,singaporean indie,0.54,0.528,9,-13.694,1,0.0364,0.708,0.0474,0.119,0.774,140.024,4
77Gzjab6AFwZbu05QB9bjZ,0kjtAQI9niv8tH33QkhuuM,My Depression Nap,Disoriented,Quite Quiet,3/2/2017,164559,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:37:50Z,singaporean indie,0.552,0.378,7,-14.758,1,0.0378,0.792,0.212,0.379,0.499,79.842,4
4gKe8Qv4jH2tv8oUmkKDfd,0kjtAQI9niv8tH33QkhuuM,It's A Nice Day For Self​-​Loathing,It's A Nice Day For Self​-​Loathing,Quite Quiet,28/4/2017,238550,4,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:37:58Z,singaporean indie,0.584,0.143,9,-19.181,0,0.0433,0.958,0.269,0.0695,0.534,79.517,4
44211Pusp7c1pjH1cfaRlj,0kjtAQI9niv8tH33QkhuuM,Sigh Language,The Sofa Ate the Cat,Quite Quiet,11/10/2019,193175,2,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:38:04Z,singaporean indie,0.648,0.766,9,-7.827,1,0.0326,0.521,0.932,0.234,0.88,129.999,4
28YW8S7mGGLrWQiIuYObFv,0kjtAQI9niv8tH33QkhuuM,Second Aid Kit,The Sofa Ate the Cat,Quite Quiet,11/10/2019,248163,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:38:04Z,singaporean indie,0.697,0.403,9,-11.551,1,0.0269,0.786,0.809,0.11,0.482,99.957,4
5tD1nczivFKzorVe0SVDcS,0kjtAQI9niv8tH33QkhuuM,Bruised Peach Club,The Sofa Ate the Cat,Quite Quiet,11/10/2019,184320,2,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:38:04Z,singaporean indie,0.778,0.156,7,-20.85,1,0.0543,0.951,0.863,0.173,0.467,74.961,3
6bFiVCuj3eBP2iNb6GvKoq,0kjtAQI9niv8tH33QkhuuM,Why Shy,Why Shy,Quite Quiet,30/4/2020,207953,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:38:20Z,singaporean indie,0.628,0.338,2,-14.682,1,0.0792,0.978,0.943,0.106,0.601,82.554,4
3K3Tu2p3Qcv2sSKlUbldeI,"0kjtAQI9niv8tH33QkhuuM,0s5tncvalQMMCJ4Mqg9ART",bleu,bleu,"Quite Quiet,Intriguant",29/5/2020,150336,1,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:38:26Z,"singaporean indie,singaporean pop",0.62,0.615,1,-9.689,0,0.0288,0.859,0.801,0.114,0.556,118.009,4
4P6EZV74sKX1Nzknkauciu,0kjtAQI9niv8tH33QkhuuM,Forever in Bed,Forever in Bed,Quite Quiet,17/6/2020,188644,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:38:36Z,singaporean indie,0.678,0.519,9,-9.634,1,0.0321,0.901,0.863,0.16,0.597,130.013,4
1ZgMxcuPZnmqqCbGy1Ovib,0kjtAQI9niv8tH33QkhuuM,should i make noodle?,let's go on a mood swing,Quite Quiet,15/4/2021,127715,2,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:38:42Z,singaporean indie,0.558,0.403,0,-15.518,1,0.0322,0.855,0.904,0.122,0.437,119.998,4
6vItnc6kohzLKAokbn5igz,0kjtAQI9niv8tH33QkhuuM,coffee,let's go on a mood swing,Quite Quiet,15/4/2021,95105,2,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:38:42Z,singaporean indie,0.642,0.17,7,-19.597,1,0.0505,0.939,0.379,0.11,0.879,140.188,4
3U8yrtfh7skFFuZIWnJJ7l,0kjtAQI9niv8tH33QkhuuM,Crocs With Socks,Crocs With Socks,Quite Quiet,24/6/2021,188639,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:38:49Z,singaporean indie,0.58,0.486,7,-12.712,1,0.0335,0.914,0.664,0.095,0.612,130.07,4
61w5PxueqXiTE3PdmFraWb,0kjtAQI9niv8tH33QkhuuM,fruits bus stops,fruits bus stops,Quite Quiet,1/7/2021,133737,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:38:55Z,singaporean indie,0.592,0.156,7,-17.508,1,0.0768,0.894,0.145,0.115,0.607,170.851,4
6yD9SlrUsBzHevp8Uq4vtw,0kjtAQI9niv8tH33QkhuuM,micro soft words,fruits bus stops,Quite Quiet,8/7/2021,228970,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:39:02Z,singaporean indie,0.717,0.342,9,-9.592,1,0.038,0.871,0.596,0.113,0.621,100.041,4
01r6XtAlsotppTNiqhhlqT,0kjtAQI9niv8tH33QkhuuM,princess celestica,fruits bus stops,Quite Quiet,8/7/2021,200533,0,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:39:02Z,singaporean indie,0.504,0.328,7,-12.382,1,0.0274,0.813,0.865,0.244,0.127,140.082,3
71RsMWMz3MUhj4fl5dDSnJ,0kjtAQI9niv8tH33QkhuuM,cute set of teeth,a trip to nowhere,Quite Quiet,2/6/2022,176222,2,spotify:user:lqajbhk923vkq8v464wumf1yb,2023-10-29T19:39:10Z,singaporean indie,0.687,0.116,2,-22.877,1,0.0375,0.917,0.115,0.106,0.543,130.141,4
